Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T00:00+01:00;2025-01-01T01:00+01:00;2025-01-01;00:00;01:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T01:00+01:00;2025-01-01T02:00+01:00;2025-01-01;01:00;02:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T02:00+01:00;2025-01-01T03:00+01:00;2025-01-01;02:00;03:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T03:00+01:00;2025-01-01T04:00+01:00;2025-01-01;03:00;04:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T04:00+01:00;2025-01-01T05:00+01:00;2025-01-01;04:00;05:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T05:00+01:00;2025-01-01T06:00+01:00;2025-01-01;05:00;06:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T06:00+01:00;2025-01-01T07:00+01:00;2025-01-01;06:00;07:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T07:00+01:00;2025-01-01T08:00+01:00;2025-01-01;07:00;08:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T08:00+01:00;2025-01-01T09:00+01:00;2025-01-01;08:00;09:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T09:00+01:00;2025-01-01T10:00+01:00;2025-01-01;09:00;10:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T10:00+01:00;2025-01-01T11:00+01:00;2025-01-01;10:00;11:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T11:00+01:00;2025-01-01T12:00+01:00;2025-01-01;11:00;12:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T12:00+01:00;2025-01-01T13:00+01:00;2025-01-01;12:00;13:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T13:00+01:00;2025-01-01T14:00+01:00;2025-01-01;13:00;14:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T14:00+01:00;2025-01-01T15:00+01:00;2025-01-01;14:00;15:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T15:00+01:00;2025-01-01T16:00+01:00;2025-01-01;15:00;16:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T16:00+01:00;2025-01-01T17:00+01:00;2025-01-01;16:00;17:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T17:00+01:00;2025-01-01T18:00+01:00;2025-01-01;17:00;18:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T18:00+01:00;2025-01-01T19:00+01:00;2025-01-01;18:00;19:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T19:00+01:00;2025-01-01T20:00+01:00;2025-01-01;19:00;20:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T20:00+01:00;2025-01-01T21:00+01:00;2025-01-01;20:00;21:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T21:00+01:00;2025-01-01T22:00+01:00;2025-01-01;21:00;22:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T22:00+01:00;2025-01-01T23:00+01:00;2025-01-01;22:00;23:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-01T23:00+01:00;2025-01-02T00:00+01:00;2025-01-01;23:00;00:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T00:00+01:00;2025-01-02T01:00+01:00;2025-01-02;00:00;01:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T01:00+01:00;2025-01-02T02:00+01:00;2025-01-02;01:00;02:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T02:00+01:00;2025-01-02T03:00+01:00;2025-01-02;02:00;03:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T03:00+01:00;2025-01-02T04:00+01:00;2025-01-02;03:00;04:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T04:00+01:00;2025-01-02T05:00+01:00;2025-01-02;04:00;05:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T05:00+01:00;2025-01-02T06:00+01:00;2025-01-02;05:00;06:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T06:00+01:00;2025-01-02T07:00+01:00;2025-01-02;06:00;07:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T07:00+01:00;2025-01-02T08:00+01:00;2025-01-02;07:00;08:00;1;12
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T08:00+01:00;2025-01-02T09:00+01:00;2025-01-02;08:00;09:00;1;17
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T09:00+01:00;2025-01-02T10:00+01:00;2025-01-02;09:00;10:00;1;11
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T10:00+01:00;2025-01-02T11:00+01:00;2025-01-02;10:00;11:00;1;3
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T11:00+01:00;2025-01-02T12:00+01:00;2025-01-02;11:00;12:00;1;1
