lokasjon;stasjon;dato;temperatur_dogn;nedbor_dogn
Lysaker;SN18810;01.01.2025;-3,9;4,1
Lysaker;SN18810;02.01.2025;-7;0,2
Lysaker;SN18810;03.01.2025;-6,3;0,1
Lysaker;SN18810;04.01.2025;-11,4;0
Lysaker;SN18810;05.01.2025;-10,6;0
Lysaker;SN18810;06.01.2025;-3,4;1,3
Lysaker;SN18810;07.01.2025;0,7;13,3
Lysaker;SN18810;08.01.2025;-2,1;7,6
Lysaker;SN18810;09.01.2025;-0,9;0
Lysaker;SN18810;10.01.2025;-3,4;0,1
Lysaker;SN18810;11.01.2025;-2,7;0
Lysaker;SN18810;12.01.2025;-8,8;0
Lysaker;SN18810;13.01.2025;-3,1;0
Lysaker;SN18810;14.01.2025;0,3;0
Lysaker;SN18810;15.01.2025;-1,1;0
Lysaker;SN18810;16.01.2025;1,1;0,6
Lysaker;SN18810;17.01.2025;0,8;0
Lysaker;SN18810;18.01.2025;1;0
Lysaker;SN18810;19.01.2025;1,9;0,5
Lysaker;SN18810;20.01.2025;0,5;0
Lysaker;SN18810;21.01.2025;-1,3;0
Lysaker;SN18810;22.01.2025;-3,2;1,7
Lysaker;SN18810;23.01.2025;-2;0
Lysaker;SN18810;24.01.2025;-0,8;4,6
Lysaker;SN18810;25.01.2025;5,4;7,4
Lysaker;SN18810;26.01.2025;2,2;0
Lysaker;SN18810;27.01.2025;1,6;1,3
Lysaker;SN18810;28.01.2025;2,3;2,1
Lysaker;SN18810;29.01.2025;3,1;10,4
Lysaker;SN18810;30.01.2025;0,6;0
Lysaker;SN18810;31.01.2025;-2,4;0
Lysaker;SN18810;01.02.2025;-5,1;0
Lysaker;SN18810;02.02.2025;-3,3;0
Lysaker;SN18810;03.02.2025;-1,6;2,7
Lysaker;SN18810;04.02.2025;3,9;1,8
Lysaker;SN18810;05.02.2025;5,1;0,1
Lysaker;SN18810;06.02.2025;-1,1;0
Lysaker;SN18810;07.02.2025;-1,2;0
Lysaker;SN18810;08.02.2025;-0,3;0
Lysaker;SN18810;09.02.2025;-5,1;0,2
Lysaker;SN18810;10.02.2025;-4,5;0
Lysaker;SN18810;11.02.2025;-3,7;0
Lysaker;SN18810;12.02.2025;-5,1;0
Lysaker;SN18810;13.02.2025;-1,7;0
Lysaker;SN18810;14.02.2025;-4,3;0
Lysaker;SN18810;15.02.2025;-4,4;0
Lysaker;SN18810;16.02.2025;-7,4;0
Lysaker;SN18810;17.02.2025;-4,1;0
Lysaker;SN18810;18.02.2025;-4,1;0
Lysaker;SN18810;19.02.2025;-6,7;0
Lysaker;SN18810;20.02.2025;-1,4;0
Lysaker;SN18810;21.02.2025;1,7;3,9
Lysaker;SN18810;22.02.2025;3,4;2,8
Lysaker;SN18810;23.02.2025;2,5;10,9
Lysaker;SN18810;24.02.2025;4,7;1,1
Lysaker;SN18810;25.02.2025;3,5;14,3
Lysaker;SN18810;26.02.2025;2,8;2,4
Lysaker;SN18810;27.02.2025;2,2;0
Lysaker;SN18810;28.02.2025;-1,1;0
Lysaker;SN18810;01.03.2025;-1,1;0
Lysaker;SN18810;02.03.2025;3,9;0
Lysaker;SN18810;03.03.2025;6,8;0
Lysaker;SN18810;04.03.2025;7;0
Lysaker;SN18810;05.03.2025;8,1;0
Lysaker;SN18810;06.03.2025;10,6;0
Lysaker;SN18810;07.03.2025;5;0
Lysaker;SN18810;08.03.2025;3;0,2
Lysaker;SN18810;09.03.2025;2,9;0
Lysaker;SN18810;10.03.2025;2,6;0,1
